scenario_id,sensor,window_start,fault_type,severity,n_fault_samples,fault_pct
0,humidity,2022-04-18 15:20:00,spike,low,2,0.14
1,humidity,2022-04-18 15:20:00,spike,medium,7,0.49
2,humidity,2022-04-18 15:20:00,spike,high,14,0.97
3,humidity,2022-04-18 15:20:00,stuck,low,90,6.25
4,humidity,2022-04-18 15:20:00,stuck,medium,240,16.67
5,humidity,2022-04-18 15:20:00,stuck,high,480,33.33
6,humidity,2022-04-18 15:20:00,drift,low,911,63.26
7,humidity,2022-04-18 15:20:00,drift,medium,794,55.14
8,humidity,2022-04-18 15:20:00,drift,high,1012,70.28
9,humidity,2022-04-18 15:20:00,bias,low,914,63.47
10,humidity,2022-04-18 15:20:00,bias,medium,833,57.85
11,humidity,2022-04-18 15:20:00,bias,high,962,66.81
12,humidity,2022-04-18 15:20:00,noise,low,360,25.0
13,humidity,2022-04-18 15:20:00,noise,medium,360,25.0
14,humidity,2022-04-18 15:20:00,noise,high,360,25.0
15,humidity,2022-04-18 15:20:00,dropout,low,15,1.04
16,humidity,2022-04-18 15:20:00,dropout,medium,60,4.17
17,humidity,2022-04-18 15:20:00,dropout,high,240,16.67
18,humidity,2022-04-19 20:53:00,spike,low,2,0.14
19,humidity,2022-04-19 20:53:00,spike,medium,7,0.49
20,humidity,2022-04-19 20:53:00,spike,high,14,0.97
21,humidity,2022-04-19 20:53:00,stuck,low,90,6.25
22,humidity,2022-04-19 20:53:00,stuck,medium,240,16.67
23,humidity,2022-04-19 20:53:00,stuck,high,480,33.33
24,humidity,2022-04-19 20:53:00,drift,low,765,53.12
25,humidity,2022-04-19 20:53:00,drift,medium,737,51.18
26,humidity,2022-04-19 20:53:00,drift,high,729,50.62
27,humidity,2022-04-19 20:53:00,bias,low,736,51.11
28,humidity,2022-04-19 20:53:00,bias,medium,917,63.68
29,humidity,2022-04-19 20:53:00,bias,high,858,59.58
30,humidity,2022-04-19 20:53:00,noise,low,360,25.0
31,humidity,2022-04-19 20:53:00,noise,medium,360,25.0
32,humidity,2022-04-19 20:53:00,noise,high,360,25.0
33,humidity,2022-04-19 20:53:00,dropout,low,15,1.04
34,humidity,2022-04-19 20:53:00,dropout,medium,60,4.17
35,humidity,2022-04-19 20:53:00,dropout,high,240,16.67
36,humidity,2022-04-23 07:07:00,spike,low,2,0.14
37,humidity,2022-04-23 07:07:00,spike,medium,7,0.49
38,humidity,2022-04-23 07:07:00,spike,high,14,0.97
39,humidity,2022-04-23 07:07:00,stuck,low,90,6.25
40,humidity,2022-04-23 07:07:00,stuck,medium,240,16.67
41,humidity,2022-04-23 07:07:00,stuck,high,480,33.33
42,humidity,2022-04-23 07:07:00,drift,low,874,60.69
43,humidity,2022-04-23 07:07:00,drift,medium,929,64.51
44,humidity,2022-04-23 07:07:00,drift,high,901,62.57
