node_outage,method,5,15,60,240,720
False,ffill,0.5445,0.7275,0.8744,1.2629,2.5306
False,hybrid,0.4379,0.6339,0.4967,1.9244,2.6307
False,iterative,1.2021,1.4648,2.2376,2.0562,2.7997
False,knn,0.4482,0.9158,0.8306,1.0201,1.3296
False,linear,0.4379,0.6339,0.4967,0.687,2.2757
False,profile,1.7095,1.3556,1.7282,1.9244,2.6307
False,spline3,0.5111,0.8693,0.7535,1.7188,7.5216
True,ffill,0.6083,0.5619,0.711,3.6611,2.9154
True,hybrid,0.4928,0.4994,0.4908,2.6987,2.3139
True,iterative,3.3959,2.5776,1.8997,2.8106,2.9512
True,knn,3.3959,2.5776,1.8997,2.8106,2.9512
True,linear,0.4928,0.4994,0.4908,2.1488,1.9257
True,profile,1.9159,1.498,1.6552,2.6987,2.3139
True,spline3,0.5078,0.5111,0.7563,3.5201,5.3934
